Node,Hub Score,Authority Score,Spectrum,Degree Centrality,Betweenness Centrality,Closeness Centrality,PageRank,Harmonic Centrality,Personalized PageRank (Alpha=0.5),Closeness in Closeness Centrality,Adjusted Closeness Centrality,Weighted Closeness Centrality,Average Neighbor Degree Centrality,Clustering Centrality,Core Number Centrality,Directed Eigenvector Centrality
Q9BQT8,0.0009136047683335199,0.0011195693971123395,15.406643144452584,0.0001866019779809666,0.0,0.17644734468299567,0.0001215915996733853,996.7999999999909,0.00014037931227586098,0.24017813567593949,0.24017813567593949,0.24017813567593949,229.0,0,1,0.036140954561900696
O14578,0.00017314643924608026,0.0002121808700193969,-15.406643144452456,0.0001866019779809666,0.0,0.17512260075343092,0.00011925329740577022,983.7999999999911,0.00013924422144683787,0.23837490917897797,0.23837490917897797,0.23837490917897797,182.0,0,1,0.006849436222582202
O60573,-0.0,6.033339918799779e-21,14.754148805193012,0.0,0.0,0.0,3.6133259460891616e-05,0.0,0.0001075500183296039,0.0,0.0,0.0,0.0,0,0,2.102101301425619e-18
Q99623,-0.0,9.446654852312475e-21,14.223353556326675,0.0,0.0,0.0,3.6133259460891616e-05,0.0,0.0001075500183296039,0.0,0.0,0.0,0.0,0,0,6.886997459227021e-20
Q9UDY4,0.0009136047683335199,0.0011195693971123362,12.40974800728212,0.0001866019779809666,0.0,0.17644734468299567,0.0001215915996733853,996.7999999999909,0.00014037931227586098,0.24017813567593949,0.24017813567593949,0.24017813567593949,229.0,0,1,0.036140954561900696
P06280,9.696768519518678e-05,0.0001188282467607716,14.012894851260675,0.0001866019779809666,0.0,0.17729096935415378,0.0001209436374895082,990.0999999999937,0.00014010758061071233,0.2413264680642393,0.2413264680642393,0.2413264680642393,169.0,0,1,0.0038359089467149663
Q14203,0.0001956054462075656,0.00023970307410057005,13.944782941226599,0.0001866019779809666,0.0,0.18531040966450954,0.00012039482380428506,1024.2833333333317,0.00013984566574947347,0.25224243977447464,0.25224243977447464,0.25224243977447464,197.0,0,1,0.00773788380761511
Q9NVI1,0.000313012003862868,0.00038357796784805947,13.88061714607194,0.0003732039559619332,0.0009213060935876175,0.1890408414407624,0.00020671707264876063,1065.3666666666627,0.00017310079133829573,0.2573202614379085,0.2573202614379085,0.2573202614379085,183.0,0,2,0.012382326582612258
Q8IUD2,0.0003687518854536459,0.00045188394411996687,13.835215936675416,0.0003732039559619332,0.0003901132511288551,0.18958605624302993,0.00020351486174916366,1068.6999999999964,0.00017153986886670744,0.2580624016780283,0.2580624016780283,0.2580624016780283,189.5,0,2,0.014587320030197304
Q8N3C7,0.00017314643924608026,0.00021218087001939682,13.751096291137229,0.0001866019779809666,0.0,0.17512260075343092,0.00011925329740577022,983.7999999999911,0.00013924422144683787,0.23837490917897797,0.23837490917897797,0.23837490917897797,182.0,0,1,0.006849436222582203
O43169,-0.0,-2.6228011835036157e-21,12.644297430714273,0.0,0.0,0.0,3.6133259460891616e-05,0.0,0.0001075500183296039,0.0,0.0,0.0,0.0,0,0,1.7889543110161903e-18
Q9Y312,0.0009136047683335199,0.001119569397112336,13.621467611048685,0.0001866019779809666,0.0,0.17644734468299567,0.0001215915996733853,996.7999999999909,0.00014037931227586098,0.24017813567593949,0.24017813567593949,0.24017813567593949,229.0,0,1,0.036140954561900696
Q15154,0.0001956054462075656,0.00023970307410057,12.754748285998359,0.0001866019779809666,0.0,0.18531040966450954,0.00012039482380428506,1024.2833333333317,0.00013984566574947347,0.25224243977447464,0.25224243977447464,0.25224243977447464,197.0,0,1,0.00773788380761511
Q92616,0.00021990746860539253,0.0002694837861848341,12.810709784898066,0.0001866019779809666,0.0,0.17790164067189476,0.00012055476892480146,996.5999999999933,0.00013991165335496336,0.24215770697502767,0.24215770697502767,0.24215770697502767,194.0,0,1,0.008699238561536059
Q9H7F0,-0.0,-2.0594561971786083e-20,13.52350889256629,0.0,0.0,0.0,3.6133259460891616e-05,0.0,0.0001075500183296039,0.0,0.0,0.0,0.0,0,0,-2.8849460325100278e-18
P78406,-0.0,-9.478734078992382e-22,13.461630394153115,0.0,0.0,0.0,3.6133259460891616e-05,0.0,0.0001075500183296039,0.0,0.0,0.0,0.0,0,0,-8.917414492154264e-19
Q14146,0.0001857337848691768,0.00022760592846802675,13.394511776835428,0.0001866019779809666,0.0,0.18190722478262045,0.00012199498372548761,1012.0666666666629,0.00014057223309574588,0.24761006289308177,0.24761006289308177,0.24761006289308177,197.0,0,1,0.007347374392332533
P13861,-0.0,-5.6359253826407024e-21,13.361071684845038,0.0,0.0,0.0,3.6133259460891616e-05,0.0,0.0001075500183296039,0.0,0.0,0.0,0.0,0,0,9.186992399257202e-19
